Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.C. Green,203.0,106.0,,1960.0,1361.0,39044.0,4778.0,9686.0,3247.0,4447.0,125.0,509.0,4653.0,9177.0,3576.0,6553.0,10129.0,1469.0,1103.0,562.0,1508.0,2581.0,12928.0
A.J. Bramlett,196.0,88.0,,1973.0,8.0,61.0,4.0,21.0,0.0,0.0,0.0,0.0,4.0,21.0,12.0,10.0,22.0,0.0,1.0,0.0,3.0,13.0,8.0
A.J. English,196.0,95.0,,1963.0,151.0,3108.0,617.0,1418.0,259.0,333.0,9.0,65.0,608.0,1353.0,140.0,175.0,315.0,320.0,57.0,24.0,203.0,287.0,1502.0
A.J. Guyton,208.0,99.0,,1976.0,80.0,1246.0,166.0,440.0,37.0,45.0,73.0,193.0,93.0,247.0,22.0,58.0,80.0,147.0,20.0,12.0,62.0,58.0,442.0
A.J. Hammons,198.0,99.0,,1993.0,22.0,163.0,17.0,42.0,9.0,20.0,5.0,10.0,12.0,32.0,8.0,28.0,36.0,4.0,1.0,13.0,10.0,21.0,48.0
A.J. Price,213.0,124.0,,1989.0,287.0,4253.0,600.0,1581.0,223.0,303.0,233.0,747.0,367.0,834.0,74.0,335.0,409.0,613.0,132.0,9.0,243.0,252.0,1656.0
A.J. Wynder,190.0,83.0,,1947.0,6.0,39.0,3.0,12.0,6.0,8.0,0.0,1.0,3.0,11.0,1.0,2.0,3.0,8.0,1.0,0.0,4.0,1.0,12.0
Aaron Brooks,183.0,73.0,University of Oregon,1985.0,797.0,17088.0,2829.0,6893.0,1156.0,1371.0,1025.0,2805.0,1804.0,4088.0,323.0,1037.0,1360.0,2485.0,469.0,113.0,1272.0,1544.0,7839.0
Aaron Gordon,206.0,99.0,University of Arizona,1995.0,205.0,4958.0,760.0,1652.0,329.0,471.0,132.0,457.0,628.0,1195.0,316.0,765.0,1081.0,311.0,144.0,117.0,193.0,408.0,1981.0
Aaron Gray,213.0,122.0,University of Pittsburgh,1984.0,387.0,4517.0,509.0,1007.0,217.0,379.0,0.0,4.0,509.0,1003.0,518.0,889.0,1407.0,251.0,113.0,106.0,314.0,796.0,1235.0
Aaron Harrison,198.0,95.0,University of Kentucky,1994.0,26.0,110.0,5.0,23.0,6.0,14.0,3.0,12.0,2.0,11.0,4.0,14.0,18.0,5.0,6.0,0.0,4.0,12.0,19.0
Aaron McKie,196.0,94.0,Temple University,1972.0,957.0,22594.0,2554.0,5923.0,1087.0,1389.0,441.0,1275.0,2113.0,4648.0,580.0,2459.0,3039.0,2462.0,1090.0,199.0,1225.0,1882.0,6636.0
Aaron Miles,185.0,79.0,University of Kansas,1983.0,19.0,118.0,6.0,18.0,4.0,4.0,0.0,0.0,6.0,18.0,0.0,14.0,14.0,24.0,4.0,1.0,11.0,13.0,16.0
Aaron Swinson,196.0,104.0,Auburn University,1971.0,9.0,51.0,10.0,18.0,4.0,5.0,0.0,0.0,10.0,18.0,3.0,5.0,8.0,3.0,1.0,0.0,5.0,8.0,24.0
Aaron Williams,206.0,99.0,Xavier University,1971.0,838.0,13669.0,1777.0,3577.0,1063.0,1442.0,1.0,17.0,1776.0,3560.0,1159.0,2015.0,3174.0,525.0,320.0,597.0,742.0,2030.0,4618.0
Acie Earl,208.0,108.0,University of Iowa,1970.0,240.0,3012.0,428.0,1076.0,312.0,471.0,0.0,14.0,428.0,1062.0,225.0,388.0,613.0,81.0,78.0,154.0,205.0,412.0,1168.0
Acie Law,190.0,88.0,Texas A&M University,1985.0,265.0,3345.0,379.0,898.0,257.0,334.0,38.0,167.0,341.0,731.0,48.0,227.0,275.0,419.0,126.0,5.0,205.0,270.0,1053.0
Adam Harrington,196.0,90.0,Auburn University,1980.0,38.0,222.0,22.0,74.0,6.0,8.0,10.0,28.0,12.0,46.0,2.0,14.0,16.0,24.0,4.0,2.0,4.0,16.0,60.0
Adam Keefe,206.0,104.0,Stanford University,1970.0,617.0,10334.0,1120.0,2230.0,866.0,1213.0,1.0,14.0,1119.0,2216.0,999.0,1557.0,2556.0,427.0,307.0,173.0,545.0,1114.0,3107.0
Adam Morrison,203.0,92.0,Gonzaga University,1984.0,213.0,3989.0,547.0,1475.0,159.0,223.0,156.0,471.0,391.0,1004.0,100.0,322.0,422.0,263.0,49.0,16.0,204.0,350.0,1409.0
Adonal Foyle,208.0,113.0,Colgate University,1975.0,743.0,13122.0,1325.0,2777.0,356.0,713.0,0.0,2.0,1325.0,2775.0,1310.0,2177.0,3487.0,345.0,264.0,1201.0,600.0,1580.0,3006.0
Adonis Jordan,180.0,77.0,University of Kansas,1970.0,10.0,97.0,8.0,27.0,2.0,4.0,3.0,12.0,5.0,15.0,3.0,3.0,6.0,22.0,3.0,1.0,8.0,6.0,21.0
Adonis Thomas,201.0,90.0,University of Memphis,1993.0,12.0,74.0,12.0,28.0,2.0,2.0,2.0,10.0,10.0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,2.0,12.0,28.0
Adreian Payne,208.0,107.0,Michigan State University,1991.0,134.0,2099.0,258.0,639.0,91.0,137.0,14.0,65.0,244.0,574.0,125.0,343.0,468.0,96.0,62.0,36.0,132.0,285.0,621.0
Adrian Branch,201.0,83.0,University of Maryland,1963.0,130.0,1429.0,331.0,727.0,163.0,219.0,9.0,39.0,322.0,688.0,114.0,139.0,253.0,96.0,83.0,17.0,125.0,193.0,834.0
Adrian Caldwell,203.0,120.0,Lamar University,1966.0,242.0,2172.0,204.0,430.0,83.0,187.0,0.0,5.0,204.0,425.0,238.0,425.0,663.0,45.0,72.0,49.0,154.0,357.0,491.0
Adrian Dantley*,196.0,94.0,University of Notre Dame,1956.0,482.0,15865.0,3565.0,6848.0,3237.0,3993.0,3.0,26.0,3562.0,6822.0,834.0,1262.0,2096.0,1214.0,334.0,62.0,1125.0,1155.0,10370.0
Adrian Griffin,196.0,98.0,Seton Hall University,1974.0,512.0,8304.0,815.0,1870.0,304.0,401.0,50.0,180.0,765.0,1690.0,535.0,1036.0,1571.0,680.0,453.0,61.0,352.0,906.0,1984.0
Al Harrington,206.0,104.0,,1980.0,1132.0,33118.0,6055.0,13613.0,2606.0,3567.0,1275.0,3541.0,4780.0,10072.0,1745.0,4688.0,6433.0,1900.0,1011.0,292.0,2168.0,3565.0,15991.0
Al Horford,208.0,111.0,University of Florida,1986.0,646.0,21535.0,3923.0,7427.0,1199.0,1603.0,195.0,563.0,3728.0,6864.0,1472.0,4136.0,5608.0,1926.0,534.0,784.0,1031.0,1537.0,9240.0
Al Jefferson,208.0,131.0,,1985.0,879.0,25815.0,6050.0,12136.0,1983.0,2797.0,8.0,63.0,6042.0,12073.0,2024.0,5523.0,7547.0,1317.0,612.0,1070.0,1190.0,2281.0,14091.0
Al Thornton,203.0,99.0,Florida State University,1983.0,442.0,11736.0,1893.0,4136.0,976.0,1307.0,93.0,323.0,1800.0,3813.0,564.0,1176.0,1740.0,505.0,265.0,199.0,590.0,1120.0,4855.0
Al Wood,198.0,87.0,University of North Carolina,1958.0,212.0,4951.0,991.0,2188.0,462.0,592.0,19.0,95.0,972.0,2093.0,218.0,399.0,617.0,384.0,160.0,82.0,261.0,441.0,2463.0
Al-Farouq Aminu,206.0,99.0,Wake Forest University,1990.0,520.0,12520.0,1398.0,3281.0,665.0,917.0,305.0,942.0,1093.0,2339.0,727.0,2221.0,2948.0,639.0,494.0,307.0,667.0,967.0,3766.0
Alaa Abdelnaby,208.0,108.0,Duke University,1968.0,385.0,5017.0,983.0,1940.0,333.0,472.0,0.0,6.0,983.0,1934.0,446.0,851.0,1297.0,125.0,111.0,107.0,389.0,777.0,2299.0
Alan Anderson,198.0,99.0,Michigan State University,1982.0,330.0,6793.0,843.0,2084.0,404.0,495.0,331.0,963.0,512.0,1121.0,151.0,563.0,714.0,371.0,182.0,31.0,290.0,602.0,2421.0
Alan Henderson,206.0,106.0,Indiana University,1972.0,652.0,13780.0,1976.0,4215.0,1137.0,1778.0,5.0,26.0,1971.0,4189.0,1426.0,1823.0,3249.0,397.0,364.0,297.0,717.0,1436.0,5094.0
Alan Ogg,218.0,108.0,University of Alabama at Birmingham,1967.0,86.0,686.0,80.0,165.0,28.0,48.0,0.0,2.0,80.0,163.0,51.0,92.0,143.0,17.0,13.0,61.0,33.0,138.0,188.0
Alan Williams,198.0,90.0,Drake University,1948.0,57.0,776.0,148.0,291.0,79.0,126.0,0.0,1.0,148.0,290.0,108.0,222.0,330.0,28.0,31.0,37.0,43.0,140.0,375.0
Alando Tucker,203.0,86.0,Oklahoma Baptist University,1943.0,66.0,522.0,94.0,221.0,63.0,81.0,11.0,41.0,83.0,180.0,35.0,24.0,59.0,20.0,5.0,2.0,24.0,28.0,262.0
Albert King,198.0,86.0,University of Maryland,1959.0,300.0,6592.0,1271.0,2891.0,455.0,566.0,44.0,151.0,1227.0,2740.0,373.0,733.0,1106.0,535.0,202.0,86.0,518.0,815.0,3041.0
Alec Burks,198.0,97.0,University of Colorado,1991.0,301.0,6618.0,1053.0,2458.0,747.0,993.0,181.0,503.0,872.0,1955.0,205.0,672.0,877.0,534.0,184.0,46.0,412.0,573.0,3034.0
Alec Kessler,211.0,104.0,University of Georgia,1967.0,210.0,2937.0,425.0,998.0,224.0,301.0,10.0,24.0,415.0,974.0,258.0,493.0,751.0,81.0,39.0,71.0,192.0,451.0,1084.0
Aleksandar Djordjevic,188.0,89.0,,1967.0,8.0,61.0,8.0,16.0,4.0,5.0,5.0,7.0,3.0,9.0,1.0,4.0,5.0,5.0,0.0,0.0,5.0,3.0,25.0
Aleksandar Radojevic,221.0,113.0,Barton County Community College,1976.0,15.0,152.0,8.0,26.0,10.0,16.0,0.0,0.0,8.0,26.0,11.0,25.0,36.0,7.0,2.0,3.0,20.0,37.0,26.0
Alex Abrines,198.0,86.0,,1993.0,68.0,1055.0,134.0,341.0,44.0,49.0,94.0,247.0,40.0,94.0,18.0,68.0,86.0,40.0,37.0,8.0,33.0,114.0,406.0
Alex Acker,196.0,83.0,Pepperdine University,1983.0,55.0,433.0,64.0,168.0,10.0,20.0,15.0,45.0,49.0,123.0,17.0,36.0,53.0,28.0,11.0,8.0,18.0,22.0,153.0
Alex Blackwell,198.0,113.0,Monmouth University,1970.0,27.0,109.0,14.0,42.0,6.0,8.0,0.0,3.0,14.0,39.0,10.0,13.0,23.0,7.0,4.0,2.0,5.0,14.0,34.0
Alex English*,201.0,86.0,University of South Carolina,1954.0,565.0,18800.0,5579.0,11232.0,2224.0,2623.0,10.0,45.0,5569.0,11187.0,1082.0,1364.0,2446.0,2176.0,474.0,179.0,1287.0,1348.0,13392.0
Alex Garcia,190.0,99.0,,1980.0,10.0,159.0,19.0,59.0,4.0,6.0,5.0,18.0,14.0,41.0,7.0,8.0,15.0,18.0,6.0,1.0,9.0,15.0,47.0
Alex Kirk,213.0,111.0,University of New Mexico,1991.0,5.0,14.0,1.0,4.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
Alex Len,216.0,117.0,University of Maryland,1993.0,266.0,5261.0,706.0,1518.0,417.0,582.0,5.0,22.0,701.0,1496.0,515.0,1142.0,1657.0,177.0,113.0,283.0,347.0,753.0,1834.0
Alex Poythress,201.0,107.0,University of Kentucky,1993.0,6.0,157.0,25.0,54.0,8.0,10.0,6.0,19.0,19.0,35.0,11.0,18.0,29.0,5.0,3.0,2.0,3.0,14.0,64.0
Alex Scales,193.0,83.0,University of Oregon,1978.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Stepheson,208.0,122.0,University of Southern California,1987.0,16.0,146.0,18.0,54.0,8.0,24.0,0.0,0.0,18.0,54.0,38.0,18.0,56.0,4.0,2.0,10.0,0.0,24.0,44.0
Alex Stivrins,203.0,99.0,University of Colorado,1962.0,41.0,166.0,39.0,82.0,7.0,12.0,0.0,4.0,39.0,78.0,17.0,24.0,41.0,7.0,4.0,4.0,17.0,24.0,85.0
Alexander Johnson,206.0,108.0,Florida State University,1983.0,102.0,1302.0,152.0,294.0,135.0,201.0,0.0,0.0,152.0,294.0,82.0,193.0,275.0,30.0,38.0,45.0,89.0,217.0,439.0
Alexander Volkov,208.0,98.0,,1964.0,149.0,2453.0,388.0,853.0,195.0,318.0,48.0,144.0,340.0,709.0,155.0,229.0,384.0,333.0,102.0,52.0,154.0,344.0,1019.0
Alexey Shved,198.0,86.0,,1988.0,224.0,4038.0,578.0,1542.0,418.0,540.0,209.0,668.0,369.0,874.0,108.0,346.0,454.0,566.0,140.0,55.0,291.0,249.0,1783.0
Alexis Ajinca,218.0,112.0,,1988.0,327.0,4245.0,704.0,1416.0,264.0,333.0,24.0,76.0,680.0,1340.0,363.0,865.0,1228.0,153.0,113.0,200.0,267.0,734.0,1696.0
Alfredrick Hughes,198.0,92.0,,1960.0,68.0,866.0,152.0,372.0,49.0,84.0,3.0,17.0,149.0,355.0,49.0,64.0,113.0,61.0,26.0,5.0,63.0,79.0,356.0
Allan Houston,198.0,90.0,University of Tennessee,1971.0,839.0,28311.0,5337.0,12017.0,2572.0,2979.0,1305.0,3247.0,4032.0,8770.0,353.0,2081.0,2434.0,1990.0,566.0,139.0,1760.0,2062.0,14551.0
Allan Ray,188.0,86.0,Villanova University,1984.0,47.0,710.0,100.0,259.0,42.0,55.0,48.0,116.0,52.0,143.0,18.0,51.0,69.0,43.0,20.0,3.0,42.0,85.0,290.0
Allen Crabbe,198.0,95.0,University of California,1992.0,226.0,5142.0,689.0,1511.0,218.0,257.0,282.0,686.0,407.0,825.0,54.0,469.0,523.0,237.0,138.0,52.0,144.0,447.0,1878.0
Allen Iverson*,183.0,74.0,Georgetown University,1975.0,1064.0,43303.0,9532.0,22369.0,7235.0,9256.0,1158.0,3704.0,8374.0,18665.0,814.0,3025.0,3839.0,6488.0,2213.0,185.0,3740.0,2006.0,27457.0
Allen Leavell,185.0,77.0,Oklahoma City University,1957.0,304.0,5678.0,803.0,1879.0,541.0,645.0,74.0,290.0,729.0,1589.0,63.0,303.0,366.0,1092.0,283.0,36.0,395.0,536.0,2221.0
Alonzo Gee,198.0,102.0,University of Alabama,1987.0,527.0,10851.0,1209.0,2759.0,692.0,920.0,216.0,658.0,993.0,2101.0,488.0,1148.0,1636.0,504.0,454.0,126.0,535.0,944.0,3326.0
Alonzo Mourning*,208.0,108.0,Georgetown University,1970.0,875.0,26677.0,5216.0,9913.0,4139.0,6003.0,22.0,89.0,5194.0,9824.0,2237.0,5098.0,7335.0,964.0,422.0,2430.0,2266.0,2892.0,14593.0
Alphonso Ford,185.0,86.0,Mississippi Valley State University,1971.0,11.0,114.0,16.0,52.0,2.0,4.0,1.0,10.0,15.0,42.0,8.0,12.0,20.0,10.0,3.0,0.0,9.0,7.0,35.0
Alton Ford,185.0,86.0,Mississippi Valley State University,1971.0,73.0,524.0,70.0,138.0,46.0,66.0,0.0,0.0,70.0,138.0,35.0,89.0,124.0,11.0,6.0,8.0,37.0,115.0,186.0
Alton Lister,213.0,108.0,Arizona State University,1958.0,775.0,14674.0,1888.0,3699.0,1002.0,1643.0,1.0,9.0,1887.0,3690.0,1479.0,3239.0,4718.0,628.0,248.0,1080.0,1030.0,2421.0,4779.0
Alvan Adams,206.0,95.0,University of Oklahoma,1954.0,310.0,7477.0,1379.0,2718.0,651.0,784.0,1.0,5.0,1378.0,2713.0,510.0,1170.0,1680.0,1038.0,362.0,172.0,682.0,978.0,3410.0
Alvin Heggs,203.0,102.0,University of Texas at Austin,1967.0,4.0,14.0,3.0,5.0,2.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0
Alvin Jones,211.0,120.0,Georgia Institute of Technology,1978.0,23.0,126.0,8.0,20.0,10.0,20.0,0.0,0.0,8.0,20.0,13.0,23.0,36.0,3.0,3.0,9.0,11.0,35.0,26.0
Alvin Robertson,190.0,83.0,University of Arkansas,1962.0,848.0,26675.0,4659.0,9784.0,1906.0,2579.0,276.0,922.0,4383.0,8862.0,1728.0,2607.0,4335.0,4192.0,2267.0,341.0,2249.0,2856.0,11500.0
Alvin Scott,201.0,83.0,Oral Roberts University,1955.0,77.0,1238.0,111.0,259.0,53.0,74.0,1.0,5.0,110.0,254.0,46.0,115.0,161.0,127.0,39.0,25.0,60.0,125.0,276.0
Alvin Sims,193.0,106.0,University of Louisville,1974.0,4.0,25.0,4.0,10.0,2.0,5.0,1.0,1.0,3.0,9.0,3.0,1.0,4.0,5.0,2.0,0.0,6.0,2.0,11.0
Alvin Williams,198.0,90.0,Drake University,1948.0,514.0,13681.0,1789.0,4232.0,690.0,912.0,217.0,692.0,1572.0,3540.0,276.0,945.0,1221.0,1980.0,587.0,112.0,681.0,976.0,4485.0
Amal McCaskill,211.0,106.0,Marquette University,1973.0,114.0,968.0,81.0,215.0,42.0,69.0,0.0,3.0,81.0,212.0,75.0,138.0,213.0,36.0,24.0,36.0,52.0,132.0,204.0
Amar'e Stoudemire,208.0,111.0,,1982.0,905.0,27499.0,6184.0,11499.0,4276.0,5630.0,30.0,131.0,6154.0,11368.0,2139.0,4822.0,6961.0,1095.0,665.0,1092.0,2031.0,2846.0,16674.0
Amir Johnson,206.0,108.0,,1987.0,745.0,16623.0,2339.0,4073.0,796.0,1181.0,85.0,250.0,2254.0,3823.0,1552.0,2662.0,4214.0,895.0,464.0,782.0,832.0,2287.0,5559.0
Anderson Varejao,208.0,123.0,,1982.0,680.0,15547.0,1857.0,3658.0,984.0,1559.0,1.0,43.0,1856.0,3615.0,1541.0,3111.0,4652.0,769.0,553.0,415.0,614.0,1700.0,4699.0
Andrae Patterson,206.0,107.0,Indiana University,1975.0,40.0,304.0,46.0,101.0,28.0,36.0,0.0,5.0,46.0,96.0,31.0,36.0,67.0,16.0,20.0,7.0,23.0,66.0,120.0
Andray Blatche,211.0,106.0,,1986.0,564.0,12462.0,2327.0,4981.0,1000.0,1380.0,52.0,219.0,2275.0,4762.0,1043.0,1981.0,3024.0,798.0,492.0,458.0,914.0,1382.0,5706.0
Andre Barrett,178.0,78.0,Seton Hall University,1982.0,124.0,1584.0,172.0,469.0,47.0,64.0,33.0,135.0,139.0,334.0,41.0,95.0,136.0,256.0,58.0,2.0,89.0,133.0,424.0
Andre Brown,206.0,111.0,DePaul University,1981.0,75.0,598.0,82.0,159.0,33.0,66.0,0.0,1.0,82.0,158.0,70.0,108.0,178.0,11.0,14.0,8.0,48.0,73.0,197.0
Andre Dawkins,196.0,97.0,Duke University,1991.0,4.0,22.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0
Andre Drummond,211.0,126.0,University of Connecticut,1993.0,385.0,11439.0,2216.0,4043.0,683.0,1793.0,5.0,19.0,2211.0,4024.0,1786.0,3160.0,4946.0,276.0,476.0,580.0,594.0,1184.0,5120.0
Andre Emmett,196.0,104.0,Texas Tech University,1982.0,14.0,73.0,6.0,13.0,8.0,13.0,0.0,1.0,6.0,12.0,2.0,6.0,8.0,1.0,2.0,1.0,3.0,6.0,20.0
Andre Iguodala,198.0,97.0,University of Arizona,1984.0,976.0,33834.0,4543.0,9776.0,2689.0,3764.0,908.0,2705.0,3635.0,7071.0,941.0,4192.0,5133.0,4396.0,1548.0,463.0,1991.0,1816.0,12683.0
Andre Miller,206.0,102.0,Michigan State University,1971.0,1562.0,45930.0,6769.0,14640.0,4379.0,5444.0,218.0,986.0,6551.0,13654.0,1547.0,3934.0,5481.0,9717.0,1738.0,252.0,3545.0,3290.0,18135.0
Andre Moore,206.0,97.0,Loyola University of Chicago,1964.0,20.0,100.0,18.0,54.0,12.0,16.0,0.0,0.0,18.0,54.0,12.0,16.0,28.0,12.0,4.0,2.0,8.0,12.0,48.0
Andre Owens,193.0,90.0,University of Houston,1980.0,54.0,602.0,67.0,181.0,37.0,52.0,21.0,56.0,46.0,125.0,24.0,44.0,68.0,55.0,18.0,3.0,37.0,62.0,192.0
Andre Roberson,196.0,83.0,Oral Roberts University,1955.0,256.0,5614.0,476.0,1006.0,110.0,223.0,100.0,385.0,376.0,621.0,273.0,729.0,1002.0,211.0,219.0,160.0,151.0,552.0,1162.0
Andre Spencer,198.0,95.0,Northern Arizona University,1964.0,96.0,1542.0,250.0,562.0,192.0,262.0,0.0,4.0,250.0,558.0,136.0,172.0,308.0,92.0,72.0,28.0,94.0,214.0,692.0
Andre Turner,180.0,72.0,University of Memphis,1964.0,181.0,2638.0,318.0,765.0,143.0,186.0,14.0,61.0,304.0,704.0,66.0,205.0,271.0,558.0,145.0,3.0,224.0,211.0,793.0
Andrea Bargnani,213.0,111.0,,1985.0,550.0,15806.0,2932.0,6676.0,1382.0,1677.0,627.0,1771.0,2305.0,4905.0,530.0,2011.0,2541.0,653.0,207.0,470.0,851.0,1338.0,7873.0
Andreas Glyniadakis,216.0,127.0,,1981.0,13.0,81.0,8.0,17.0,1.0,2.0,0.0,0.0,8.0,17.0,2.0,6.0,8.0,1.0,0.0,0.0,9.0,19.0,17.0
Andrei Kirilenko,206.0,99.0,,1981.0,797.0,23916.0,3146.0,6637.0,2772.0,3675.0,367.0,1185.0,2779.0,5452.0,1400.0,2952.0,4352.0,2169.0,1097.0,1461.0,1518.0,1605.0,9431.0
Andres Guibert,208.0,102.0,,1968.0,22.0,200.0,22.0,67.0,16.0,25.0,0.0,4.0,22.0,63.0,26.0,35.0,61.0,12.0,8.0,2.0,18.0,35.0,60.0
Andres Nocioni,201.0,102.0,,1979.0,590.0,14004.0,2231.0,5179.0,1109.0,1389.0,711.0,1885.0,1520.0,3294.0,408.0,2248.0,2656.0,716.0,254.0,261.0,837.0,1655.0,6282.0
Andrew Bogut,213.0,117.0,University of Utah,1984.0,698.0,20095.0,2989.0,5605.0,831.0,1501.0,3.0,26.0,2986.0,5579.0,1772.0,4425.0,6197.0,1569.0,448.0,1095.0,1220.0,2210.0,6812.0
Andrew Bynum,213.0,129.0,,1987.0,444.0,11206.0,2011.0,3671.0,1024.0,1480.0,1.0,9.0,2010.0,3662.0,1060.0,2306.0,3366.0,519.0,139.0,686.0,678.0,1059.0,5047.0
Andrew DeClercq,208.0,104.0,University of Florida,1973.0,634.0,10949.0,1256.0,2483.0,674.0,1073.0,0.0,2.0,1256.0,2481.0,1129.0,1614.0,2743.0,370.0,440.0,330.0,604.0,1950.0,3186.0
Andrew Gaze,201.0,92.0,Seton Hall University,1965.0,26.0,128.0,16.0,42.0,2.0,2.0,9.0,24.0,7.0,18.0,3.0,9.0,12.0,11.0,4.0,2.0,7.0,16.0,43.0
Andrew Goudelock,190.0,90.0,College of Charleston,1988.0,49.0,475.0,77.0,196.0,14.0,16.0,29.0,84.0,48.0,112.0,7.0,27.0,34.0,24.0,10.0,2.0,28.0,36.0,197.0
Andrew Harrison,198.0,96.0,University of Kentucky,1994.0,72.0,1474.0,117.0,360.0,148.0,194.0,43.0,156.0,74.0,204.0,23.0,113.0,136.0,198.0,54.0,20.0,85.0,194.0,425.0
Andrew Lang,211.0,111.0,University of Arkansas,1966.0,808.0,17709.0,2133.0,4575.0,991.0,1320.0,6.0,25.0,2127.0,4550.0,1341.0,2625.0,3966.0,489.0,374.0,1225.0,821.0,2278.0,5263.0
Andrew Nicholson,206.0,113.0,St. Bonaventure University,1989.0,323.0,4422.0,751.0,1628.0,206.0,269.0,92.0,298.0,659.0,1330.0,203.0,715.0,918.0,136.0,90.0,101.0,229.0,513.0,1800.0
Andrew Toney,190.0,80.0,University of Louisiana at Lafayette,1957.0,157.0,3901.0,730.0,1558.0,500.0,602.0,70.0,201.0,660.0,1357.0,61.0,253.0,314.0,671.0,96.0,38.0,393.0,332.0,2030.0
Andrew Wiggins,203.0,90.0,University of Kansas,1995.0,245.0,8862.0,1800.0,4001.0,1196.0,1573.0,199.0,605.0,1601.0,3396.0,342.0,652.0,994.0,523.0,246.0,126.0,546.0,538.0,4995.0
Andris Biedrins,211.0,108.0,,1986.0,516.0,11146.0,1432.0,2409.0,383.0,766.0,0.0,2.0,1432.0,2407.0,1190.0,2441.0,3631.0,467.0,331.0,580.0,479.0,1626.0,3247.0
Andy Panko,206.0,100.0,Lebanon Valley College,1977.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Rautins,193.0,86.0,Syracuse University,1986.0,5.0,24.0,3.0,7.0,1.0,2.0,1.0,4.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,7.0,0.0,8.0
Andy Toolson,198.0,95.0,Brigham Young University,1966.0,60.0,523.0,58.0,146.0,28.0,37.0,15.0,44.0,43.0,102.0,32.0,41.0,73.0,32.0,14.0,2.0,26.0,70.0,159.0
Anfernee Hardaway,201.0,88.0,University of Memphis,1971.0,780.0,25806.0,4274.0,9410.0,2302.0,2969.0,533.0,1670.0,3741.0,7740.0,1044.0,2389.0,3433.0,3701.0,1195.0,332.0,1893.0,1708.0,11383.0
Ansu Sesay,206.0,102.0,University of Mississippi,1976.0,127.0,1301.0,161.0,371.0,71.0,111.0,8.0,29.0,153.0,342.0,102.0,121.0,223.0,62.0,38.0,30.0,58.0,162.0,401.0
Antawn Jamison,203.0,101.0,University of North Carolina,1976.0,1149.0,40044.0,8157.0,18060.0,3715.0,5160.0,1248.0,3612.0,6909.0,14448.0,2693.0,6019.0,8712.0,1845.0,1119.0,442.0,1805.0,2759.0,21277.0
Anthony Avent,206.0,106.0,Seton Hall University,1969.0,426.0,8100.0,964.0,2417.0,419.0,604.0,0.0,2.0,964.0,2415.0,704.0,1218.0,1922.0,343.0,199.0,242.0,501.0,971.0,2347.0
Anthony Bennett,203.0,111.0,"University of Nevada, Las Vegas",1993.0,151.0,1905.0,251.0,641.0,120.0,179.0,36.0,138.0,215.0,503.0,132.0,340.0,472.0,77.0,58.0,27.0,99.0,206.0,658.0
Anthony Bonner,203.0,97.0,Saint Louis University,1968.0,318.0,7372.0,881.0,1881.0,435.0,737.0,2.0,16.0,879.0,1865.0,708.0,1018.0,1726.0,442.0,346.0,84.0,450.0,784.0,2199.0
Anthony Bowie,198.0,86.0,University of Oklahoma,1963.0,461.0,8349.0,1247.0,2628.0,384.0,466.0,67.0,211.0,1180.0,2417.0,299.0,722.0,1021.0,840.0,288.0,106.0,478.0,711.0,2945.0
Anthony Brown,206.0,111.0,DePaul University,1981.0,51.0,917.0,75.0,226.0,17.0,20.0,34.0,124.0,41.0,102.0,25.0,111.0,136.0,35.0,24.0,7.0,27.0,64.0,201.0
Anthony Carter,185.0,86.0,University of Hawaii,1975.0,656.0,12647.0,1275.0,3149.0,441.0,621.0,128.0,504.0,1147.0,2645.0,251.0,1102.0,1353.0,2432.0,628.0,121.0,997.0,1152.0,3119.0
Anthony Cook,206.0,92.0,University of Arizona,1967.0,141.0,1702.0,192.0,432.0,96.0,189.0,0.0,7.0,192.0,425.0,192.0,292.0,484.0,38.0,46.0,105.0,78.0,162.0,480.0
Anthony Davis,206.0,97.0,University of Texas at El Paso,1968.0,335.0,11531.0,2843.0,5543.0,1733.0,2203.0,78.0,269.0,2765.0,5274.0,849.0,2555.0,3404.0,590.0,436.0,793.0,595.0,815.0,7497.0
Anthony Frederick,201.0,92.0,Pepperdine University,1964.0,147.0,1640.0,291.0,663.0,130.0,186.0,6.0,22.0,285.0,641.0,137.0,143.0,280.0,135.0,76.0,45.0,132.0,200.0,718.0
